,Attributes,Price
0,"['\n$3,250\nfor rent\n', '1 bed1 bath', '\n        Rental Unit in Financial District ', '\n          Listed by TF Cornerstone\n']","
$3,250
for rent
"
1,"['\n$3,900\nfor rent\n', '2 beds', '\n        Rental Unit in Chelsea ', '\n          Listed by Anthony J Martone, LREB\n']","
$3,900
for rent
"
2,"['\n$2,600\nfor rent\n', '1 bed1 bath800,700 ft\xc2\xb2', '\n        Rental Unit in Upper East Side ']","
$2,600
for rent
"
3,"['\n$15,000\nfor rent\n', '25,000 ft\xc2\xb2', '\n        Rental Unit in Tribeca ']","
$15,000
for rent
"
4,"['\n$6,700\nfor rent\n', 'Furnished1 bath18,175 ft\xc2\xb2', '\n        Apartment in Financial District ']","
$6,700
for rent
"
5,"['\n$14,500\nfor rent\n', '3 beds2 baths18,000 ft\xc2\xb2', '\n        Rental Unit in East Village ']","
$14,500
for rent
"
6,"['\n$65,000\nfor rent\n', '15,000 ft\xc2\xb2', '\n        Rental Unit in Washington Heights ']","
$65,000
for rent
"
7,"['\n$90,000\nfor rent\n', '8 beds7 baths14,000 ft\xc2\xb2', '\n        Rental Unit in Lenox Hill ']","
$90,000
for rent
"
8,"['\n$80,000\nfor rent\n', '3 beds3.5 baths13,000 ft\xc2\xb2', '\n        Townhouse in Soho ']","
$80,000
for rent
"
9,"['\n$60,375\nfor rent\n', '10,500 ft\xc2\xb2', '\n        Rental Unit in Lenox Hill ']","
$60,375
for rent
"
10,"['\n\xe2\x86\x93\n$47,699\nfor rent\n', '10,407 ft\xc2\xb2', '\n        Rental Unit in Murray Hill ']","
↓
$47,699
for rent
"
11,"['\n\xe2\x86\x93\n$65,000\nfor rent\n', '6 beds6+ baths7,250 ft\xc2\xb2', '\n        Rental Unit in Carnegie Hill ']","
↓
$65,000
for rent
"
12,"['\n\xe2\x86\x93\n$45,000\nfor rent\n', '7 beds7 baths7,234 ft\xc2\xb2', '\n        Rental Unit in Upper East Side ']","
↓
$45,000
for rent
"
13,"['\n\xe2\x86\x93\n$40,000\nfor rent\n', '5 beds4.5 baths6,800 ft\xc2\xb2', '\n        Townhouse in Tribeca ']","
↓
$40,000
for rent
"
14,"['\n\xe2\x86\x93\n$2,582\nfor rent\n', '1 bath', '\n        Rental Unit in Turtle Bay ', '\n          Listed by Nancy Packes Inc.\n']","
↓
$2,582
for rent
"
15,"['\n\xe2\x86\x93\n$4,095\nfor rent\n', '2 beds2 baths', '\n        Rental Unit in Midtown West ', '\n          Listed by Manhattan Skyline\n']","
↓
$4,095
for rent
"
16,"['\n$75,000\nfor rent\n', 'Furnished7 beds7 baths6,400 ft\xc2\xb2', '\n        Condo in Lenox Hill ']","
$75,000
for rent
"
17,"['\n\xe2\x86\x93\n$125,000\nfor rent\n', '4 beds6+ baths6,278 ft\xc2\xb2', '\n        Rental Unit in Lenox Hill ']","
↓
$125,000
for rent
"
18,"['\n\xe2\x86\x91\n$28,000\nfor rent\n', '1 bath6,000 ft\xc2\xb2', '\n        Rental Unit in Tribeca ']","
↑
$28,000
for rent
"
19,"['\n\xe2\x86\x93\n$22,500\nfor rent\n', '4 beds4 baths6,000 ft\xc2\xb2', '\n        Rental Unit in Noho ']","
↓
$22,500
for rent
"
20,"['\n\xe2\x86\x93\n$55,000\nfor rent\n', '5 beds4+ baths5,737 ft\xc2\xb2', '\n        Townhouse in Upper East Side ']","
↓
$55,000
for rent
"
21,"['\n$45,500\nfor rent\n', '5 baths5,200 ft\xc2\xb2', '\n        Rental Unit in Lenox Hill ']","
$45,500
for rent
"
22,"['\n$30,000\nfor rent\n', '4 beds4 baths5,000 ft\xc2\xb2', '\n        Townhouse in Beekman ']","
$30,000
for rent
"
23,"['\n$15,500\nfor rent\n', '2 beds1+ bath5,000 ft\xc2\xb2', '\n        Townhouse in Kips Bay ']","
$15,500
for rent
"
24,"['\n$40,000\nfor rent\n', 'Furnished3 beds4 baths5,000 ft\xc2\xb2', '\n        Townhouse in Little Italy ']","
$40,000
for rent
"
25,"['\n$35,000\nfor rent\n', '4 beds3.5 baths5,000 ft\xc2\xb2', '\n        Rental Unit in Tribeca ']","
$35,000
for rent
"
26,"['\n\xe2\x86\x93\n$29,950\nfor rent\n', '4 beds4 baths5,000 ft\xc2\xb2', '\n        Condo in Tribeca ']","
↓
$29,950
for rent
"
27,"['\n\xe2\x86\x93\n$25,000\nfor rent\n', '5 beds4.5 baths5,000 ft\xc2\xb2', '\n        Condo in Tribeca ']","
↓
$25,000
for rent
"
28,"['\n\xe2\x86\x93\n$2,800\nfor rent\n', '2 beds1 bath800 ft\xc2\xb2', '\n        Co-op in Morningside Heights ', '\n          Listed by Owner\n']","
↓
$2,800
for rent
"
29,"['\n$11,000\nfor rent\n', '3 beds2 baths', '\n        Rental Unit in Carnegie Hill ', '\n          Listed by The Monterey\n']","
$11,000
for rent
"
