,Price,Beds,Baths,Area,Location
2,2600.0,1.0,1.0,800700.0,"
        Rental Unit in Upper East Side "
3,15000.0,,,25000.0,"
        Rental Unit in Tribeca "
4,6700.0,,1.0,18175.0,"
        Apartment in Financial District "
5,14500.0,3.0,2.0,18000.0,"
        Rental Unit in East Village "
6,65000.0,,,15000.0,"
        Rental Unit in Washington Heights "
7,90000.0,8.0,7.0,14000.0,"
        Rental Unit in Lenox Hill "
8,80000.0,3.0,5.0,13000.0,"
        Townhouse in Soho "
9,60375.0,,,10500.0,"
        Rental Unit in Lenox Hill "
10,,,,10407.0,"
        Rental Unit in Murray Hill "
11,,6.0,,7250.0,"
        Rental Unit in Carnegie Hill "
12,,7.0,7.0,7234.0,"
        Rental Unit in Upper East Side "
13,,5.0,5.0,6800.0,"
        Townhouse in Tribeca "
16,75000.0,7.0,7.0,6400.0,"
        Condo in Lenox Hill "
17,,4.0,,6278.0,"
        Rental Unit in Lenox Hill "
18,,,1.0,6000.0,"
        Rental Unit in Tribeca "
19,,4.0,4.0,6000.0,"
        Rental Unit in Noho "
20,,5.0,,5737.0,"
        Townhouse in Upper East Side "
21,45500.0,,5.0,5200.0,"
        Rental Unit in Lenox Hill "
22,30000.0,4.0,4.0,5000.0,"
        Townhouse in Beekman "
23,15500.0,2.0,,5000.0,"
        Townhouse in Kips Bay "
24,40000.0,3.0,4.0,5000.0,"
        Townhouse in Little Italy "
25,35000.0,4.0,5.0,5000.0,"
        Rental Unit in Tribeca "
26,,4.0,4.0,5000.0,"
        Condo in Tribeca "
27,,5.0,5.0,5000.0,"
        Condo in Tribeca "
28,,2.0,1.0,800.0,"
        Co-op in Morningside Heights "
30,250000.0,3.0,,5000.0,"
        Rental Unit in Midtown "
31,175000.0,3.0,5.0,5000.0,"
        Rental Unit in Midtown "
32,250000.0,3.0,,5000.0,"
        Rental Unit in Midtown "
33,18500.0,,1.0,4900.0,"
        Apartment in Financial District "
34,18500.0,,1.0,4900.0,"
        Apartment in Financial District "
35,,5.0,,4865.0,"
        Rental Unit in Carnegie Hill "
36,25000.0,3.0,5.0,4802.0,"
        Condo in Noho "
37,25000.0,3.0,5.0,4802.0,"
        Rental Unit in Noho "
38,500000.0,6.0,5.0,4786.0,"
        Co-op in Lenox Hill "
39,,3.0,5.0,4700.0,"
        Rental Unit in Soho "
40,23500.0,4.0,5.0,4500.0,"
        Townhouse in Turtle Bay "
41,,4.0,5.0,4500.0,"
        Multi-family in Lenox Hill "
43,,2.0,2.0,1085.0,"
        Condo in Murray Hill "
44,,4.0,4.0,4500.0,"
        Condo in Tribeca "
45,27500.0,,,4400.0,"
        Townhouse in Soho "
46,,3.0,5.0,4363.0,"
        Rental Unit in Tribeca "
47,,,,4213.0,"
        Rental Unit in Carnegie Hill "
48,38500.0,4.0,5.0,4200.0,"
        Condo in Soho "
49,,4.0,5.0,4200.0,"
        Rental Unit in Lenox Hill "
50,30000.0,5.0,,4200.0,"
        Condo in Lincoln Square "
51,30000.0,4.0,5.0,4182.0,"
        Rental Unit in Lenox Hill "
52,32500.0,5.0,5.0,4059.0,"
        Condo in Lincoln Square "
53,14800.0,,1.0,4037.0,"
        Apartment in Financial District "
54,14800.0,,1.0,4037.0,"
        Apartment in Financial District "
55,25000.0,5.0,5.0,4014.0,"
        Rental Unit in Tribeca "
58,28000.0,3.0,3.0,4000.0,"
        Condo in Tribeca "
59,,4.0,3.0,4000.0,"
        Multi-family in Lenox Hill "
60,18500.0,4.0,5.0,4000.0,"
        Rental Unit in Kips Bay "
61,,2.0,2.0,4000.0,"
        Rental Unit in Greenwich Village "
62,48500.0,5.0,5.0,4000.0,"
        Condo in Lincoln Square "
63,,3.0,5.0,4000.0,"
        Condo in Tribeca "
64,,4.0,5.0,4000.0,"
        Condo in Flatiron "
65,,4.0,5.0,4000.0,"
        Condo in Flatiron "
66,,4.0,5.0,4000.0,"
        Townhouse in Greenwich Village "
67,,5.0,5.0,3850.0,"
        Rental Unit in Lincoln Square "
68,16500.0,6.0,5.0,3800.0,"
        Rental Unit in Carnegie Hill "
69,55000.0,5.0,5.0,3750.0,"
        Rental Unit in Lenox Hill "
70,10500.0,3.0,3.0,1942.0,"
        Condo in Upper West Side "
72,,5.0,5.0,3740.0,"
        Townhouse in Upper West Side "
73,22500.0,4.0,4.0,3700.0,"
        Rental Unit in Upper East Side "
74,42000.0,5.0,5.0,3688.0,"
        Rental Unit in Beekman "
75,20000.0,4.0,5.0,3650.0,"
        Condo in Soho "
76,35000.0,5.0,5.0,3600.0,"
        Condo in Lincoln Square "
77,70000.0,3.0,,3600.0,"
        Rental Unit in Midtown "
78,,6.0,5.0,3600.0,"
        Rental Unit in Lenox Hill "
79,,4.0,4.0,3500.0,"
        Condo in Tribeca "
80,,5.0,5.0,3500.0,"
        Condo in Lenox Hill "
81,58000.0,4.0,,3491.0,"
        Rental Unit in Lincoln Square "
82,,6.0,5.0,3468.0,"
        Rental Unit in Central Harlem "
83,,4.0,5.0,3452.0,"
        Condo in Midtown "
85,3900.0,1.0,1.0,700.0,"
        Rental Unit in Midtown West "
86,30000.0,3.0,3.0,3452.0,"
        Condo in Midtown "
87,27000.0,4.0,3.0,3423.0,"
        Condo in West Chelsea "
88,,3.0,5.0,3400.0,"
        Co-op in Murray Hill "
89,29707.0,,,3395.0,"
        Rental Unit in Lenox Hill "
90,,2.0,2.0,3300.0,"
        Co-op in Soho "
91,30000.0,4.0,5.0,3300.0,"
        Condo in West Chelsea "
92,,2.0,2.0,3300.0,"
        Co-op in Soho "
93,,3.0,3.0,3300.0,"
        Rental Unit in Hamilton Heights "
94,,3.0,3.0,3300.0,"
        Rental Unit in Hamilton Heights "
95,,3.0,3.0,3300.0,"
        Rental Unit in Hamilton Heights "
96,17500.0,3.0,5.0,3272.0,"
        Rental Unit in Chelsea "
97,,3.0,5.0,3228.0,"
        Condo in Midtown "
99,,1.0,1.0,735.0,"
        Condo in Upper West Side "
100,,3.0,5.0,3228.0,"
        Condo in Midtown "
101,30000.0,4.0,4.0,3212.0,"
        Condo in Lincoln Square "
102,47500.0,4.0,5.0,3205.0,"
        Condo in Lenox Hill "
103,47500.0,4.0,5.0,3205.0,"
        Condo in Lenox Hill "
104,,4.0,3.0,3201.0,"
        Condo in Tribeca "
105,18000.0,3.0,4.0,3200.0,"
        Rental Unit in Yorkville "
106,,3.0,3.0,3200.0,"
        Rental Unit in Flatiron "
107,,5.0,,3200.0,"
        Rental Unit in Upper West Side "
108,,3.0,5.0,3200.0,"
        Townhouse in Kips Bay "
109,,2.0,5.0,3200.0,"
        Townhouse in Soho "
110,,4.0,5.0,3200.0,"
        Rental Unit in Chelsea "
111,135000.0,3.0,5.0,3200.0,"
        Rental Unit in Midtown "
112,3300.0,1.0,1.0,691.0,"
        Rental Unit in Kips Bay "
113,,2.0,3.0,2322.0,"
        Rental Unit in Flatiron "
114,27950.0,4.0,5.0,3187.0,"
        Rental Unit in Turtle Bay "
115,25000.0,3.0,3.0,3184.0,"
        Condo in Soho "
116,13221.0,,,3173.0,"
        Rental Unit in Murray Hill "
117,,3.0,4.0,3164.0,"
        Condo in Lenox Hill "
118,,4.0,5.0,3140.0,"
        Rental Unit in Lenox Hill "
119,25000.0,3.0,2.0,3100.0,"
        Condo in Soho "
120,13000.0,2.0,5.0,3100.0,"
        Rental Unit in Murray Hill "
121,,5.0,5.0,3100.0,"
        Condo in Battery Park City "
122,,3.0,5.0,3100.0,"
        Condo in Lenox Hill "
123,19500.0,,1.0,3100.0,"
        Rental Unit in Flatiron "
124,32500.0,5.0,5.0,3072.0,"
        Condo in Lincoln Square "
125,50000.0,4.0,5.0,3065.0,"
        Condo in Midtown "
128,30000.0,3.0,5.0,3065.0,"
        Condo in Midtown "
129,19000.0,3.0,5.0,3062.0,"
        Condo in West Village "
130,,4.0,4.0,3062.0,"
        Condo in Chelsea "
131,,4.0,4.0,3041.0,"
        Condo in Carnegie Hill "
132,,5.0,5.0,3033.0,"
        Townhouse in Tribeca "
133,22950.0,3.0,5.0,3025.0,"
        Rental Unit in Soho "
134,,4.0,,3017.0,"
        Condo in Lenox Hill "
135,49000.0,4.0,5.0,3016.0,"
        Rental Unit in Central Park South "
138,,4.0,4.0,3000.0,"
        Rental Unit in Upper West Side "
139,,4.0,2.0,3000.0,"
        Rental Unit in Fulton/Seaport "
140,,,1.0,493.0,"
        Rental Unit in Midtown West "
141,,1.0,1.0,662.0,"
        Rental Unit in Lincoln Square "
142,,4.0,,3000.0,"
        Rental Unit in Upper West Side "
143,10000.0,5.0,2.0,3000.0,"
        Co-op in Tribeca "
144,,5.0,3.0,3000.0,"
        Rental Unit in Upper West Side "
145,6950.0,3.0,2.0,3000.0,"
        Townhouse in Kips Bay "
146,,3.0,3.0,3000.0,"
        Building in Kips Bay "
147,,4.0,2.0,3000.0,"
        Townhouse in Central Harlem "
148,,3.0,3.0,3000.0,"
        Townhouse in Midtown West "
149,,5.0,2.0,3000.0,"
        Condo in Tribeca "
150,,3.0,5.0,3000.0,"
        Condo in Upper West Side "
151,18000.0,5.0,4.0,3000.0,"
        Condo in East Village "
152,,5.0,4.0,3000.0,"
        Rental Unit in Yorkville "
153,,2.0,2.0,3000.0,"
        Rental Unit in Chelsea "
155,5250.0,2.0,2.0,980.0,"
        Condo in Lincoln Square "
156,18000.0,3.0,3.0,2953.0,"
        Rental Unit in Soho "
157,,3.0,5.0,2924.0,"
        Condo in Upper East Side "
158,,3.0,5.0,2915.0,"
        Condo in Lenox Hill "
159,,3.0,5.0,2915.0,"
        Rental Unit in Lenox Hill "
160,25000.0,3.0,4.0,2907.0,"
        Condo in Upper West Side "
161,35000.0,3.0,5.0,2902.0,"
        Condo in Soho "
162,,5.0,4.0,2900.0,"
        Condo in Murray Hill "
163,35000.0,4.0,5.0,2888.0,"
        Rental Unit in Flatiron "
164,,4.0,5.0,2876.0,"
        Condo in Upper West Side "
165,,3.0,5.0,2875.0,"
        Condo in Soho "
166,,3.0,5.0,2871.0,"
        Condo in Turtle Bay "
167,20000.0,2.0,2.0,2866.0,"
        Rental Unit in West Village "
168,1850.0,,1.0,300.0,"
        Co-op in Upper West Side "
170,19500.0,3.0,5.0,2865.0,"
        Condo in Turtle Bay "
171,,3.0,5.0,2850.0,"
        Rental Unit in Upper West Side "
172,11817.0,,,2836.0,"
        Rental Unit in Murray Hill "
173,,3.0,5.0,2835.0,"
        Rental Unit in Central Park South "
174,16500.0,3.0,5.0,2821.0,"
        Condo in Central Park South "
175,65000.0,3.0,5.0,2815.0,"
        Rental Unit in Upper East Side "
176,450000.0,2.0,5.0,2800.0,"
        Condo in Manhattan "
177,,4.0,4.0,2800.0,"
        Rental Unit in Upper West Side "
